code	short	full
100	NA	POLAR_DOMAIN
120	NA	Tundra_Division
124	NA	Arctic_Tundra
125	NA	Bering_Tundra_(Northern)
126	NA	Bering_Tundra_(Southern)
M120	NA	Tundra_Division-_Mountains
M121	NA	Brooks_Range_Tundra-Polar_Desert
M125	NA	Seward_Peninsula_Tundra-Meadow
M126	NA	Ahklun_Mountains_Tundra-Meadow
M127	NA	Aleutian_Oceanic_Meadow-Heath
130	NA	Subarctic_Division
131	NA	Yukon_Intermontane_Plateaus_Tayga_Forest
135	NA	Coastal_Trough_Humid_Tayga
139	NA	Upper_Yukon_Tayga
M130	NA	Subarctic_Division-_Mountains
M131	NA	Yukon_Intermontane_Plateaus_Tayga-Meadow
M135	NA	Alaska_Range_Humid_Tayga-Tundra-Meadow
M139	NA	Upper_Yukon_Tayga-Meadow
200	NA	HUMID_TEMPERATE_DOMAIN
210	NA	Warm_Continental_Division
212	Laurentian	Laurentian_Mixed_Forest
M210	Warm_Cont_Mtns	Warm_Continental_Division-Mountains
M212	NE_Mixed		Adirondack_New_England_Mixed_Forest-Coniferous_Forest-Alpine_Meadow
220	NA	Hot_Continental
221	E_Broadleaf_Oceanic	Eastern_Broadleaf_Forest_(Oceanic)
222	E_Broadleaf_Cont	Eastern_Broadleaf_Forest_(Continental)
M220	NA	Hot_Continental-Mountains
M221	Central_Appalachian	Central_Appalachian_Broadleaf_Forest-Coniferous_Forest-Meadow
M222	Ozark_Broadleaf	Ozark_Broadleaf_Forest-Meadow
230	NA	Subtropical_Division
231	SE_Mixed	Southeastern_Mixed_Forest
232	Coastal_Plain	Outer_Coastal_Plain_Mixed_Forest
234	Mississippi_Riverine	Lower_Mississippi_Riverine_Forest
M230	NA	Subtropical_Division-_Mountains
M231	Ouachita_Mixed	Ouachita_Mixed_Forest-Meadow
240	NA	Marine_Division
242	NA	Pacific_Lowland_Mixed_Forest
M240	NA	Marine_Division-_Mountains
M242	NA	Cascade_Mixed_Forest-Coniferous_Forest-Alpine_Meadow
M244	NA	Pacific_Coastal_Mountains_Forest-Meadow
M245	NA	Pacific_Gulf_Coastal_Forest-Meadow
250	NA	Prairie_Division
251	NA	Prairie_Parkland_(Temperate)
255	NA	Prairie_Parkland_(Subtropical)
260	NA	Mediterranean_Division
261	NA	California_Coastal_Chaparral_Forest_and_Shrub
262	NA	California_Dry_Steppe
263	NA	California_Coastal_Steppe,_Mixed_Forest,_and_Redwood_Forest
M260	NA	Mediterranean_Division-_Mountains
M261	NA	Sierran_Steppe-Mixed_Forest-Coniferous_Forest-Alpine_Meadow
M262	NA	California_Coastal_Range_Open_Woodland_Shrub_Coniferous_Forest-Meadow
300	NA	DRY_DOMAIN
310	Tropical/Subtropical_Steppe	Tropical/Subtropical_Steppe
311	Great_Plains	Great_Plains_Steppe_and_Shrub
313	NA	Colorado_Plateau_Semidesert
315	NA	Southwest_Plateau_and_Plains_Dry_Steppe_and_Shrub
M310	NA	Tropical/Subtropical_Steppe_Division-_Mountains
M313	NA	Arizona_New_Mexico_Mountains_Semidesert_Open_Woodland-Coniferous_Forest-Alpine_Meadow
320	NA	Tropical/Subtropical_Desert_Division
321	NA	Chihuahuan_Semidesert
322	NA	American_Semidesert_and_Desert
330	Temperate_Steppe	Temperate_Steppe
331	Palouse	Great_Plains_Palouse_Dry_Steppe
332	Great_Plains_Steppe	Great_Plains_Steppe
M330	Temperate_Steppe	Temperate_Steppe-Mountains
M331	NA	Southern_Rocky_Mountain_Steppe-OpenWoodland-Coniferous_Forest-Alpine_Meadow
M332	NA	Middle_Rocky_Mountain_Steppe-Coniferous_Forest-Alpine_Meadow
M333	NA	Northern_Rocky_Mountain_Forest_Steppe-Coniferous_Forest-Alpine_Meadow
M334	NA	Black_Hills_Coniferous_Forest
340	NA	Temperate_Desert_Division
341	NA	Intermountain_Semidesert_and_Desert
342	NA	Intermountain_Semidesert
M340	NA	Temperate_Desert_Division-_Mountains
M341	NA	Nevada_Utah_Mountains_Semidesert-Coniferous_Forest-Alpine_Meadow
400	NA	HUMID_TROPICAL_DOMAIN
410	Savanna	Savanna
411	Everglades	Everglades
M410	Savanna_Mtns	Savanna_Mountains
M411	NA	Puerto_Rico
420	Rainforest	Rainforest
M420	Rainforest_Mtns	Rainforest_Mountains
M423	NA	Hawaiian_Islands

