pft	id	spcd	genus	species	Symbol
temperate.Late_Conifer	6	12	Abies	balsamea	ABBA
temperate.Late_Hardwood	17	310	Acer	NA	ACER
temperate.Late_Hardwood	18	311	Acer	barbatum	ACBA3
temperate.Late_Hardwood	21	322	Acer	grandidentatum	ACGR3
temperate.Late_Hardwood	22	323	Acer	leucoderme	ACLE
temperate.Late_Hardwood	24	313	Acer	negundo	ACNE2
temperate.Late_Hardwood	26	314	Acer	nigrum	ACNI5
temperate.Late_Hardwood	27	315	Acer	pensylvanicum	ACPE
temperate.Late_Hardwood	28	320	Acer	platanoides	ACPL
temperate.Late_Hardwood	30	316	Acer	rubrum	ACRU
temperate.Late_Hardwood	31	317	Acer	saccharinum	ACSA2
temperate.Late_Hardwood	32	318	Acer	saccharum	ACSA3
temperate.Late_Hardwood	33	319	Acer	spicatum	ACSP2
temperate.North_Mid_Hardwood	20	321	Acer	glabrum	ACGL
temperate.Late_Hardwood	46	330	Aesculus	NA	AESCU
temperate.Late_Hardwood	47	332	Aesculus	flava	AEFL
temperate.Late_Hardwood	48	331	Aesculus	glabra	AEGL
temperate.Late_Hardwood	49	334	Aesculus	glabra	AEGLA
temperate.Early_Hardwood	62	341	Ailanthus	altissima	AIAL
temperate.Early_Hardwood	68	345	Albizia	julibrissin	ALJU
temperate.Early_Hardwood	78	350	Alnus	NA	ALNUS
temperate.Late_Hardwood	80	355	Alnus	glutinosa	ALGL2
temperate.Late_Hardwood	82	352	Alnus	rhombifolia	ALRH2
temperate.Early_Hardwood	93	1000	Amelanchier	alnifolia	AMAL2
temperate.Early_Hardwood	94	357	Amelanchier	arborea	AMAR3
temperate.North_Mid_Hardwood	96	358	Amelanchier	sanguinea	AMSA
temperate.North_Mid_Hardwood	92	356	Amelanchier	NA	AMELA
temperate.Early_Hardwood	181	370	Betula	NA	BETUL
temperate.Early_Hardwood	183	371	Betula	alleghaniensis	BEAL2
temperate.Early_Hardwood	187	372	Betula	lenta	BELE
temperate.Early_Hardwood	189	373	Betula	nigra	BENI
temperate.Early_Hardwood	190	375	Betula	papyrifera	BEPA
temperate.Early_Hardwood	193	379	Betula	populifolia	BEPO
temperate.Early_Hardwood	227	854	Bursera	simaruba	BUSI
temperate.Late_Hardwood	245	1001	Calycanthus	floridus	CAFL22
temperate.Late_Hardwood	265	391	Carpinus	caroliniana	CACA18
temperate.North_Mid_Hardwood	277	407	Carya	ovata	CAOV2
temperate.North_Mid_Hardwood	271	402	Carya	cordiformis	CACO15
temperate.North_Mid_Hardwood	266	400	Carya	NA	CARYA
temperate.North_Mid_Hardwood	276	412	Carya	ovalis	CAOV3
temperate.Early_Hardwood	297	452	Catalpa	speciosa	CASP8
temperate.Early_Hardwood	296	451	Catalpa	bignoniodes	CABI8
temperate.Early_Hardwood	295	450	Catalpa	NA	CATAL
temperate.North_Mid_Hardwood	310	463	Celtis	laevigata var reticulata	CELAR
temperate.North_Mid_Hardwood	311	462	Celtis	occidentalis	CEOC
temperate.Late_Conifer	319	43	Chamaecyparis	thyoides	CHTH2
temperate.North_Mid_Hardwood	349	481	Cladrastis	kentukea	CLKE
temperate.Late_Hardwood	387	491	Cornus	florida	COFL2
temperate.North_Mid_Hardwood	400	502	Crataegus	mollis	CRMO2
temperate.North_Mid_Hardwood	397	500	Crataegus	NA	CRATA
temperate.North_Mid_Hardwood	398	501	Crataegus	crus-galli	CRCR2
temperate.Late_Hardwood	450	520	Diospyros	NA	DIOSP
temperate.Late_Hardwood	452	522	Diospyros	texana	DITE3
temperate.Late_Hardwood	454	521	Diospyros	virginiana	DIVI5
temperate.Early_Hardwood	480	997	Elaeagnus	angustifolia	ELAN
temperate.Late_Hardwood	546	531	Fagus	grandifolia	FAGR
temperate.Early_Hardwood	555	876	Ficus	aurea	FIAU
temperate.North_Mid_Hardwood	569	541	Fraxinus	americana	FRAM2
temperate.North_Mid_Hardwood	573	542	Fraxinus	latifolia	FRLA
temperate.North_Mid_Hardwood	574	543	Fraxinus	nigra	FRNI
temperate.North_Mid_Hardwood	575	544	Fraxinus	pennsylvanica	FRPE
temperate.North_Mid_Hardwood	576	545	Fraxinus	profunda	FRPR
temperate.Early_Hardwood	604	552	Gleditsia	triacanthos	GLTR
temperate.Early_Hardwood	602	550	Gleditsia	NA	GLEDI
temperate.Early_Hardwood	627	571	Gymnocladus	dioicus	GYDI
temperate.Late_Hardwood	634	580	Halesia	NA	HALES
temperate.Late_Hardwood	635	581	Halesia	carolina	HACA3
temperate.Late_Hardwood	636	582	Halesia	parviflora	HAPA
temperate.Early_Hardwood	671	1004	Ilex	ambigua	ILAM
temperate.Late_Hardwood	675	1005	Ilex	montana	ILMO
temperate.North_Mid_Hardwood	713	600	Juglans	NA	JUGLA
temperate.North_Mid_Hardwood	714	601	Juglans	cinerea	JUCI
temperate.North_Mid_Hardwood	715	602	Juglans	nigra	JUNI
temperate.Late_Conifer	728	67	Juniperus	virginiana	JUVIS
temperate.Late_Conifer	727	68	Juniperus	virginiana	JUVI
temperate.Late_Conifer	722	61	Juniperus	ashei	JUAS
temperate.Late_Conifer	721	57	Juniperus	NA	JUNIP
temperate.Late_Conifer	726	66	Juniperus	scopulorum	JUSC
temperate.Late_Conifer	724	69	Juniperus	monosperma	JUMO
temperate.Early_Hardwood	760	70	Larix	spp	LASP
temperate.Early_Hardwood	787	611	Liquidambar	styraciflua	LIST2
temperate.Early_Hardwood	788	621	Liriodendron	tulipifera	LITU
temperate.Early_Hardwood	814	641	Maclura	pomifera	MAPO
temperate.North_Mid_Hardwood	826	660	Malus	NA	MALUS
temperate.North_Mid_Hardwood	828	663	Malus	coronaria	MACO5
temperate.North_Mid_Hardwood	829	661	Malus	fusca	MAFU
temperate.North_Mid_Hardwood	830	664	Malus	ioensis	MAIO
temperate.Early_Hardwood	845	993	Melia	azedarach	MEAZ
temperate.North_Mid_Hardwood	876	681	Morus	alba	MOAL
temperate.North_Mid_Hardwood	877	682	Morus	rubra	MORU2
temperate.North_Mid_Hardwood	924	701	Ostrya	virginiana	OSVI
temperate.Late_Hardwood	928	711	Oxydendrum	arboreum	OXAR
temperate.Early_Hardwood	945	712	Paulownia	tomentosa	PATO2
temperate.Northern_Pine	967	91	Picea	abies	PIAB
temperate.Northern_Pine	1017	129	Pinus	strobus	PIST
temperate.Northern_Pine	1018	130	Pinus	sylvestris	PISY
temperate.Northern_Pine	1002	136	Pinus	nigra	PINI
temperate.Northern_Pine	999	133	Pinus	monophylla	PIMO
temperate.Northern_Pine	1013	125	Pinus	resinosa	PIRE
temperate.Northern_Pine	1008	122	Pinus	ponderosa	PIPO
temperate.Northern_Pine	1014	126	Pinus	rigida	PIRI
temperate.Northern_Pine	984	105	Pinus	banksiana	PIBA2
temperate.Southern_Pine	988	107	Pinus	clausa	PICL
temperate.Southern_Pine	990	110	Pinus	echinata	PIEC2
temperate.Southern_Pine	992	111	Pinus	elliottii	PIEL
temperate.Southern_Pine	994	115	Pinus	glabra	PIGL2
temperate.Southern_Pine	1020	132	Pinus	virginiana	PIVI2
temperate.Southern_Pine	1019	131	Pinus	taeda	PITA
temperate.Southern_Pine	1004	121	Pinus	palustris	PIPA2
temperate.Southern_Pine	1011	123	Pinus	pungens	PIPU5
temperate.Southern_Pine	1015	128	Pinus	serotina	PISE
temperate.Late_Hardwood	1038	729	Platanus	NA	PLATA
temperate.Late_Hardwood	1037	731	Platanus	occidentalis	PLOC
temperate.Early_Hardwood	1068	740	Populus	NA	POPUL
temperate.Early_Hardwood	1069	752	Populus	alba	POAL7
temperate.Early_Hardwood	1070	741	Populus	balsamifera	POBA2
