plotname	state	contact	include	subplots	type	seedArea	lat	lon	elev	slope	aspect	phys
UNDERC_1  MI	hardiman	F	F	tree	NA	45.56081667	-84.71344444	NA	NA	NA	3
CW_118	NC	clark	T	F	tree	0.16	35.05109	-83.43413	775	80	300	1
CW_218	NC	clark	T	F	tree	0.16	35.04843	-83.43419	799	40	330	2
CW_318	NC	clark	T	F	tree	0.16	35.04723	-83.43417	862	50	330	1
CW_427	NC	clark	T	F	tree	0.16	35.03855	-83.45997	1112	55	80	1
CW_527	NC	clark	T	F	tree	0.16	35.03108	-83.46194	1402	60	30	1
CW_LG	NC	clark	T	F	tree	0.125	35.04256	-83.45773	1035	35	90	2
CW_UG	NC	clark	T	F	tree	0.125	35.0384	-83.46126	1131	35	40	2
CW_Ball	NC	clark	F	T	ling	NA	NA	NA	713	NA	NA	NA
CW_Dorm	NC	clark	F	T	ling	NA	NA	NA	761	NA	NA	NA
CW_Reyn	NC	clark	F	T	ling	NA	NA	NA	1170	NA	50	NA
DF_BW	NC	clark	T	F	tree	0.125	35.98465	-79.09305	168	25	340	2
DF_HW	NC	clark	T	F	tree	0.125	35.97656	-79.0964	166	4	90	3
DF_EW	NC	clark	T	F	tree	0.125	36.03435	-79.07078	181	20	180	1
DF_Warm	NC	clark	F	T	ling	NA	NA	NA	170	20	0	2
DF_EE	NC	clark	T	F	tree	0.125	36.03479	-79.06521	159	5	80	2
MH_F	NC	clark	T	F	tree	0.125	35.82592	-82.55631	705	25	280	2
MH_P	NC	clark	T	F	tree	0.16	35.8221	-82.55068	758	35	110	1
GSNP_CD	NC	clark	F	F	tree	NA	35.56566  -83.49502 1929	NA	NA	2
GSNP_ND	NC	clark	F	F	tree	NA	 35.56429	-83.47686	1700	NA	NA	2
GSNP_PK	NC	clark	F	F	tree	NA	35.58728	-83.08096	1443	NA	NA	2
WH_P1	GA	mohan	F	F	tree	0.107	33.88877	-83.36175	199.95	6.3	0	2
WH_P2	GA	mohan	F	F	tree	0.107	33.88794	-83.36205	201.78	3.4	225	2
